SampleLocationName,SampleValue,NameDeterminandName,BelowMinReading
Treatment Influent,0.296,ciprofloxacin,No
Treatment Influent,7.46,erythromycin,No
Treatment Influent,0.0765,azithromycin,No
Treatment Influent,0.368,clarithromycin,No
Treatment Influent,0.366,ciprofloxacin,No
Treatment Influent,0.54,erythromycin,No
Treatment Influent,0.679,azithromycin,No
Treatment Influent,0.193,clarithromycin,No
Treatment Influent,3.3,ciprofloxacin,No
Treatment Influent,3.96,erythromycin,No
Treatment Influent,0.0077,azithromycin,No
Treatment Influent,0.326,clarithromycin,No
Treatment Influent,1.49,ciprofloxacin,No
Treatment Influent,0.58,erythromycin,No
Treatment Influent,0.0316,azithromycin,No
Treatment Influent,0.038,clarithromycin,No
Treatment Influent,0.198,ciprofloxacin,No
Treatment Effluent,0.231,ciprofloxacin,No
Treatment Effluent,0.092,azithromycin,No
Treatment Effluent,0.044,erythromycin,No
Treatment Effluent,0.044,clarithromycin,No
Treatment Effluent,0.075,ciprofloxacin,No
Treatment Effluent,0.079,azithromycin,No
Treatment Effluent,0.221,clarithromycin,No
Treatment Effluent,0.515,erythromycin,No
Treatment Effluent,0.531,clarithromycin,No
Treatment Effluent,0.587,erythromycin,No
Treatment Effluent,0.238,ciprofloxacin,No
Treatment Effluent,0.113,azithromycin,No
Treatment Effluent,0.134,ciprofloxacin,No
Treatment Effluent,0.279,clarithromycin,No
Treatment Effluent,0.195,erythromycin,No
Treatment Effluent,0.08,azithromycin,No
Treatment Effluent,0.399,clarithromycin,No
Treatment Effluent,0.136,erythromycin,No
Treatment Effluent,0.081,azithromycin,No
Treatment Effluent,0.072,ciprofloxacin,No
Treatment Effluent,0.069,azithromycin,No
Treatment Effluent,0.181,ciprofloxacin,No
Treatment Effluent,0.67,clarithromycin,No
Treatment Effluent,0.268,erythromycin,No
Treatment Effluent,0.236,clarithromycin,No
Treatment Effluent,0.062,ciprofloxacin,No
Treatment Effluent,0.051,erythromycin,No
Treatment Effluent,0.017,azithromycin,No
Treatment Effluent,0.17,ciprofloxacin,No
Treatment Effluent,0.149,azithromycin,No
